	strain	accession_version	strain_name	date	region	country	division	location	length	host_scientific	date_released	date_updated	sra_accessions	authors	abbr_authors	institution	host
1166	MK129253	MK129253.1	MERS-CoV/KOR/KCDC/001_2018-TSVi	2018-10-20	Asia	South Korea			30150	Homo sapiens	2019-02-26	2019-02-26		Chung,Y.S.,Kim,J.M.,Man Kim,H.,Park,K.R.,Lee,A.,Lee,N.J.,Kim,M.S.,Kim,J.S.,Kim,C.K.,Lee,J.I.,Kang,C.,Chung,Y.-S.,Kim,J.-M.,Kim,H.M.,Kim,C.-K.,Kim,J.-S.	Chung et al	Korea Centers for Disease Control and Prevention, Division of Viral Diseases	Human
1167	MK280984	MK280984.2	Qatar15	2015-05-21	Asia	Qatar			30033	Homo sapiens	2019-01-13	2019-09-20		Widagdo,W.,Okba,N.M.A.,Richard,M.,de Meulder,D.,Bestebroer,T.M.,Lexmond,P.,Farag,E.A.B.A.,Al-Hajri,M.,Stittelaar,K.J.,de Waal,L.,van Amerongen,G.,van den Brand,J.M.A.,Haagmans,B.L.,Herfst,S.,Farag,A.A.B.A.	Widagdo et al	Erasmus Medical Center, Viroscience Lab	Human
1168	MK357908	MK357908.1	011/DAB/C8/F<1	2017-04-21	Africa	Kenya			29797	Camelus dromedarius	2019-01-30	2019-01-30		Kiambi,S.,Corman,V.M.,Sitawa,R.,Githinji,J.,Ngoci,J.,Ozomata,A.S.,Gardner,E.,von Dobschuetz,S.,Morzaria,S.,Kimutai,J.,Schroeder,S.,Njagi,O.,Simpkin,P.,Rugalema,G.,Tadesse,Z.,Lubroth,J.,Makonnen,Y.,Drosten,C.,Muller,M.A.,Fasina,F.O.	Kiambi et al	Charite - Universitaetsmedizin Berlin, Institute of Virology	Camel
1169	MK357909	MK357909.1	011/LOM/C20/F<1	2017-04-21	Africa	Kenya			29797	Camelus dromedarius	2019-01-30	2019-01-30		Kiambi,S.,Corman,V.M.,Sitawa,R.,Githinji,J.,Ngoci,J.,Ozomata,A.S.,Gardner,E.,von Dobschuetz,S.,Morzaria,S.,Kimutai,J.,Schroeder,S.,Njagi,O.,Simpkin,P.,Rugalema,G.,Tadesse,Z.,Lubroth,J.,Makonnen,Y.,Drosten,C.,Muller,M.A.,Fasina,F.O.	Kiambi et al	Charite - Universitaetsmedizin Berlin, Institute of Virology	Camel
1174	MK462247	MK462247.1	MK462247	2018-06-08	Asia	Saudi Arabia			30118	Homo sapiens	2019-03-02	2019-03-02		Lu,X.,Assiri,A.M.,Watson,J.T.,Gerber,S.I.,Lindstrom,S.	Lu et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
1175	MK462248	MK462248.1	MK462248	2018-06-13	Asia	Saudi Arabia			30118	Homo sapiens	2019-03-02	2019-03-02		Lu,X.,Assiri,A.M.,Watson,J.T.,Gerber,S.I.,Lindstrom,S.	Lu et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
1177	MK462250	MK462250.1	MK462250	2018-07-12	Asia	Saudi Arabia			30118	Homo sapiens	2019-03-02	2019-03-02		Lu,X.,Assiri,A.M.,Watson,J.T.,Gerber,S.I.,Lindstrom,S.	Lu et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
1180	MK462253	MK462253.1	MK462253	2018-08-30	Asia	Saudi Arabia			30118	Homo sapiens	2019-03-02	2019-03-02		Lu,X.,Assiri,A.M.,Watson,J.T.,Gerber,S.I.,Lindstrom,S.	Lu et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
1181	MK462254	MK462254.1	MK462254	2018-08-31	Asia	Saudi Arabia			30118	Homo sapiens	2019-03-02	2019-03-02		Lu,X.,Assiri,A.M.,Watson,J.T.,Gerber,S.I.,Lindstrom,S.	Lu et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
1182	MK462255	MK462255.1	MK462255	2018-09-15	Asia	Saudi Arabia			30052	Homo sapiens	2019-03-02	2019-03-02		Lu,X.,Assiri,A.M.,Watson,J.T.,Gerber,S.I.,Lindstrom,S.	Lu et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
1183	MK462256	MK462256.1	MK462256	2018-09-15	Asia	Saudi Arabia			30118	Homo sapiens	2019-03-02	2019-03-02		Lu,X.,Assiri,A.M.,Watson,J.T.,Gerber,S.I.,Lindstrom,S.	Lu et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
1184	MK462257	MK462257.1	MK462257	2018-06-01	Asia	Saudi Arabia			4062	Homo sapiens	2019-03-02	2019-03-02		Lu,X.,Assiri,A.M.,Watson,J.T.,Gerber,S.I.,Lindstrom,S.	Lu et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
1185	MK462258	MK462258.1	MK462258	2018-07-24	Asia	Saudi Arabia			4062	Homo sapiens	2019-03-02	2019-03-02		Lu,X.,Assiri,A.M.,Watson,J.T.,Gerber,S.I.,Lindstrom,S.	Lu et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
1186	MK483839	MK483839.1	MK483839	2018-08-16	Asia	Saudi Arabia			30118	Homo sapiens	2019-03-02	2019-03-02		Lu,X.,Assiri,A.M.,Watson,J.T.,Gerber,S.I.,Lindstrom,S.	Lu et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
1187	MK564474	MK564474.1	camel/MERS/Amibara/118/2017	2017-08-24	Africa	Ethiopia			30085	Camelus dromedarius	2019-03-20	2019-06-25		Shirato,K.,Melaku,S.K.,Kawachi,K.,Nao,N.,Iwata-Yoshikawa,N.,Kawase,M.,Kamitani,W.,Matsuyama,S.,Tessema,T.S.,Sentsui,H.	Shirato et al	National Institute of Infectious Diseases, Department of Virology III	Camel
1188	MK564475	MK564475.1	camel/MERS/Amibara/126/2017	2017-08-24	Africa	Ethiopia			30085	Camelus dromedarius	2019-03-20	2019-06-25		Shirato,K.,Melaku,S.K.,Kawachi,K.,Nao,N.,Iwata-Yoshikawa,N.,Kawase,M.,Kamitani,W.,Matsuyama,S.,Tessema,T.S.,Sentsui,H.	Shirato et al	National Institute of Infectious Diseases, Department of Virology III	Camel
1190	MK858156	MK858156.1	19	2016-10-17	Asia	Saudi Arabia			4062	Homo sapiens	2019-05-20	2019-05-20		Alosaimi,B.,Naeem,A.,Assiri,A.M.,Enani,M.	Alosaimi et al	King Fahad Medical City, Research Laboratories	Human
1192	MK858158	MK858158.1	26	2016-11-28	Asia	Saudi Arabia			4062	Homo sapiens	2019-05-20	2019-05-20		Alosaimi,B.,Naeem,A.,Assiri,A.M.,Enani,M.	Alosaimi et al	King Fahad Medical City, Research Laboratories	Human
1195	MK858161	MK858161.1	40	2017-06-03	Asia	Saudi Arabia			4062	Homo sapiens	2019-05-20	2019-05-20		Alosaimi,B.,Naeem,A.,Assiri,A.M.,Enani,M.	Alosaimi et al	King Fahad Medical City, Research Laboratories	Human
1197	MK858163	MK858163.1	42	2017-06-03	Asia	Saudi Arabia			4062	Homo sapiens	2019-05-20	2019-05-20		Alosaimi,B.,Naeem,A.,Assiri,A.M.,Enani,M.	Alosaimi et al	King Fahad Medical City, Research Laboratories	Human
1198	MK858164	MK858164.1	44	2017-06-05	Asia	Saudi Arabia			4062	Homo sapiens	2019-05-20	2019-05-20		Alosaimi,B.,Naeem,A.,Assiri,A.M.,Enani,M.	Alosaimi et al	King Fahad Medical City, Research Laboratories	Human
1204	MK910259	MK910259.1	MERS-CoV-Jeddah-Camel /1227/2016	2016-02-XX	Asia	Saudi Arabia			4062	Camelus bactrianus	2020-06-01	2020-06-01		Alhafufi,A.N.,Samy,K.,Albaqshi,H.A.,Al-Ghadeer,H.,Zidan,K.H.,Alyousef,A.	Alhafufi et al	Ministry of Environment, Water and Agriculture (MEWA), Riyadh Diagnostic Veterinary Laboratory	Camel
1206	MK967708	MK967708.1	Merscov/Egypt/Camel/AHRI-FAO-1/2018	2018-XX-XX	Africa	Egypt			30106	Camelus	2019-12-15	2019-12-15		Shaheen,M.A.,Hagag,N.M.,Hanafy,S.,Ibrahim,E.,Mansour,A.,Nubie,O.,Lubroth,J.,Von Dobschuetz,S.,Makonnen,Y.	Shaheen et al	Animal Health Research institute, Genome	Camel
1207	MN120513	MN120513.1	016	2019-03-27	Asia	Saudi Arabia			30118	Homo sapiens	2019-07-27	2019-07-27		AlBalwi,M.,Anis,K.,UdayaRaja G,K.,Al Deeris,M.,AlAbdulkareem,I.	AlBalwi et al	King Abdullah International Medical Research Center, Medical Genomics Research Department	Human
1208	MN120514	MN120514.1	013	2019-03-28	Asia	Saudi Arabia			30118	Homo sapiens	2019-07-27	2019-07-27		Al Balwi,M.,Khan,A.,UdayaRaja G,K.,Al Drees,M.,AlAbdulkareem,M.	Al Balwi et al	King Abdullah International Medical Research Center, Medical Genomics Research Department	Human
1252	MN365232	MN365232.1	MN365232	2019-01-28	Asia	Saudi Arabia			30118	Homo sapiens	2019-09-04	2019-09-04		Lu,X.,Assiri,A.M.,Watson,J.T.,Gerber,S.I.,Lindstrom,S.	Lu et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
1253	MN365233	MN365233.1	MN365233	2019-02-15	Asia	Saudi Arabia			30118	Homo sapiens	2019-09-04	2019-09-04		Lu,X.,Assiri,A.M.,Watson,J.T.,Gerber,S.I.,Lindstrom,S.	Lu et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
1254	MN403101	MN403101.1	31-Cam-Jed	2019-03-XX	Asia	Saudi Arabia	Mecca	Jeddah	4062	Camelus dromedarius	2019-10-01	2019-10-01		Sohrab,S.S.,Azhar,E.I.	Sohrab et al	King Abdulaziz University, Special Infectious disease Agents Unit, King Fahd Medical Research Center	Camel
1255	MN403102	MN403102.1	1390-Hu-Jed	2019-03-XX	Asia	Saudi Arabia	Mecca	Jeddah	4062	Homo sapiens	2019-10-01	2019-10-01		Sohrab,S.S.,Azhar,E.I.	Sohrab et al	King Abdulaziz University, Special Infectious disease Agents Unit, King Fahd Medical Research Center	Human
1279	MN507638	MN507638.1	llama-passaged-Qatar15		Asia	Qatar			30033	Lama glama	2019-10-23	2019-10-23		Rodon,J.,Okba,N.M.A.,Nigeer,T.,van Dieren,B.,Bosch,B.-J.,Bensaid,A.,Segales,J.,Haagmans,B.L.,Vergara-Alert,J.	Rodon et al	Erasmus Medical Center, Viroscience Lab	Llama
1404	MN654970	MN654970.1	Al-Hasa-SA2408/2016	2016-07-XX	Asia	Saudi Arabia			30004	Camelus dromedarius	2020-12-17	2020-12-17		Chu,D.K.W.,Hemida,M.,Chor,Y.,Cheng,S.M.,Alnaeem,A.,Poon,L.M.,Peiris,M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
1405	MN654971	MN654971.1	Al-Hasa-SA2097/2015	2015-12-XX	Asia	Saudi Arabia			30112	Camelus dromedarius	2020-12-17	2020-12-17		Chu,D.K.W.,Hemida,M.,Chor,Y.,Cheng,S.M.,Alnaeem,A.,Poon,L.M.,Peiris,M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
1406	MN654972	MN654972.1	Al-Hasa-SA2196/2016	2016-06-XX	Asia	Saudi Arabia			30004	Camelus dromedarius	2020-12-17	2020-12-17		Chu,D.K.W.,Hemida,M.,Chor,Y.,Cheng,S.M.,Alnaeem,A.,Poon,L.M.,Peiris,M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
1407	MN654973	MN654973.1	Al-Hasa-SA1983/2015	2015-11-XX	Asia	Saudi Arabia			30112	Camelus dromedarius	2020-12-17	2020-12-17		Chu,D.K.W.,Hemida,M.,Chor,Y.,Cheng,S.M.,Alnaeem,A.,Poon,L.M.,Peiris,M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
1408	MN654974	MN654974.1	Al-Hasa-SA2697/2017	2017-05-XX	Asia	Saudi Arabia			30010	Camelus dromedarius	2020-12-17	2020-12-17		Chu,D.K.W.,Hemida,M.,Chor,Y.,Cheng,S.M.,Alnaeem,A.,Poon,L.M.,Peiris,M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
1409	MN654975	MN654975.1	Al-Hasa-SA2407/2016	2016-07-XX	Asia	Saudi Arabia			30111	Camelus dromedarius	2020-12-17	2020-12-17		Chu,D.K.W.,Hemida,M.,Chor,Y.,Cheng,S.M.,Alnaeem,A.,Poon,L.M.,Peiris,M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
1410	MN654976	MN654976.1	Al-Hasa-SA4839		Asia	Saudi Arabia			30111	Camelus dromedarius	2020-12-17	2020-12-17		Chu,D.K.W.,Hemida,M.,Chor,Y.,Cheng,S.M.,Alnaeem,A.,Poon,L.M.,Peiris,M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
1411	MN654977	MN654977.1	Al-Hasa-SA2689/2017	2017-05-XX	Asia	Saudi Arabia			30097	Camelus dromedarius	2020-12-17	2020-12-17		Chu,D.K.W.,Hemida,M.,Chor,Y.,Cheng,S.M.,Alnaeem,A.,Poon,L.M.,Peiris,M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
1412	MN654978	MN654978.1	Al-Hasa-SA2199/2016	2016-06-XX	Asia	Saudi Arabia			30004	Camelus dromedarius	2020-12-17	2020-12-17		Chu,D.K.W.,Hemida,M.,Chor,Y.,Cheng,S.M.,Alnaeem,A.,Poon,L.M.,Peiris,M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
1413	MN654979	MN654979.1	Al-Hasa-SA2681/2017	2017-05-XX	Asia	Saudi Arabia			30000	Camelus dromedarius	2020-12-17	2020-12-17		Chu,D.K.W.,Hemida,M.,Chor,Y.,Cheng,S.M.,Alnaeem,A.,Poon,L.M.,Peiris,M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
1414	MN654980	MN654980.1	Al-Hasa-SA2108/2016	2016-03-XX	Asia	Saudi Arabia			30004	Camelus dromedarius	2020-12-17	2020-12-17		Chu,D.K.W.,Hemida,M.,Chor,Y.,Cheng,S.M.,Alnaeem,A.,Poon,L.M.,Peiris,M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
1415	MN654981	MN654981.1	Al-Hasa-SA1962		Asia	Saudi Arabia			30004	Camelus dromedarius	2020-12-17	2020-12-17		Chu,D.K.W.,Hemida,M.,Chor,Y.,Cheng,S.M.,Alnaeem,A.,Poon,L.M.,Peiris,M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
1416	MN654982	MN654982.1	Al-Hasa-SA2557/2017	2017-01-XX	Asia	Saudi Arabia			30004	Camelus dromedarius	2020-12-17	2020-12-17		Chu,D.K.W.,Hemida,M.,Chor,Y.,Cheng,S.M.,Alnaeem,A.,Poon,L.M.,Peiris,M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
1417	MN654983	MN654983.1	Al-Hasa-SA4047/2017	2017-12-XX	Asia	Saudi Arabia			30112	Camelus dromedarius	2020-12-17	2020-12-17		Chu,D.K.W.,Hemida,M.,Chor,Y.,Cheng,S.M.,Alnaeem,A.,Poon,L.M.,Peiris,M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
1418	MN654984	MN654984.1	Al-Hasa-SA4819		Asia	Saudi Arabia			30112	Camelus dromedarius	2020-12-17	2020-12-17		Chu,D.K.W.,Hemida,M.,Chor,Y.,Cheng,S.M.,Alnaeem,A.,Poon,L.M.,Peiris,M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
1419	MN654985	MN654985.1	Al-Hasa-SA1944		Asia	Saudi Arabia			30004	Camelus dromedarius	2020-12-17	2020-12-17		Chu,D.K.W.,Hemida,M.,Chor,Y.,Cheng,S.M.,Alnaeem,A.,Poon,L.M.,Peiris,M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
1420	MN654986	MN654986.1	Al-Hasa-SA2691/2017	2017-05-XX	Asia	Saudi Arabia			30004	Camelus dromedarius	2020-12-17	2020-12-17		Chu,D.K.W.,Hemida,M.,Chor,Y.,Cheng,S.M.,Alnaeem,A.,Poon,L.M.,Peiris,M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
1421	MN654987	MN654987.1	Al-Hasa-SA2687/2017	2017-05-XX	Asia	Saudi Arabia			30000	Camelus dromedarius	2020-12-17	2020-12-17		Chu,D.K.W.,Hemida,M.,Chor,Y.,Cheng,S.M.,Alnaeem,A.,Poon,L.M.,Peiris,M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
1422	MN654988	MN654988.1	Al-Hasa-SA1946		Asia	Saudi Arabia			30111	Camelus dromedarius	2020-12-17	2020-12-17		Chu,D.K.W.,Hemida,M.,Chor,Y.,Cheng,S.M.,Alnaeem,A.,Poon,L.M.,Peiris,M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
1423	MN654989	MN654989.1	Al-Hasa-SA2579/2017	2017-01-XX	Asia	Saudi Arabia			30111	Camelus dromedarius	2020-12-17	2020-12-17		Chu,D.K.W.,Hemida,M.,Chor,Y.,Cheng,S.M.,Alnaeem,A.,Poon,L.M.,Peiris,M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
1424	MN654990	MN654990.1	Al-Hasa-SA4535		Asia	Saudi Arabia			30112	Camelus dromedarius	2020-12-17	2020-12-17		Chu,D.K.W.,Hemida,M.,Chor,Y.,Cheng,S.M.,Alnaeem,A.,Poon,L.M.,Peiris,M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
1425	MN654991	MN654991.1	Al-Hasa-SA1989/2015	2015-11-XX	Asia	Saudi Arabia			30112	Camelus dromedarius	2020-12-17	2020-12-17		Chu,D.K.W.,Hemida,M.,Chor,Y.,Cheng,S.M.,Alnaeem,A.,Poon,L.M.,Peiris,M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
1426	MN654992	MN654992.1	Al-Hasa-SA2247/2016	2016-07-XX	Asia	Saudi Arabia			30101	Camelus dromedarius	2020-12-17	2020-12-17		Chu,D.K.W.,Hemida,M.,Chor,Y.,Cheng,S.M.,Alnaeem,A.,Poon,L.M.,Peiris,M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
1427	MN654993	MN654993.1	Al-Hasa-SA1950		Asia	Saudi Arabia			30000	Camelus dromedarius	2020-12-17	2020-12-17		Chu,D.K.W.,Hemida,M.,Chor,Y.,Cheng,S.M.,Alnaeem,A.,Poon,L.M.,Peiris,M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
1428	MN654994	MN654994.1	Al-Hasa-SA3228/2017	2017-04-XX	Asia	Saudi Arabia			30048	Camelus dromedarius	2020-12-17	2020-12-17		Chu,D.K.W.,Hemida,M.,Chor,Y.,Cheng,S.M.,Alnaeem,A.,Poon,L.M.,Peiris,M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
1429	MN654995	MN654995.1	Al-Hasa-SA4586/2018	2018-03-07	Asia	Saudi Arabia			30112	Camelus dromedarius	2020-12-17	2020-12-17		Chu,D.K.W.,Hemida,M.,Chor,Y.,Cheng,S.M.,Alnaeem,A.,Poon,L.M.,Peiris,M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
1430	MN654996	MN654996.1	Al-Hasa-SA2159/2016	2016-04-XX	Asia	Saudi Arabia			30006	Camelus dromedarius	2020-12-17	2020-12-17		Chu,D.K.W.,Hemida,M.,Chor,Y.,Cheng,S.M.,Alnaeem,A.,Poon,L.M.,Peiris,M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
1431	MN654997	MN654997.1	Al-Hasa-SA4809		Asia	Saudi Arabia			30112	Camelus dromedarius	2020-12-17	2020-12-17		Chu,D.K.W.,Hemida,M.,Chor,Y.,Cheng,S.M.,Alnaeem,A.,Poon,L.M.,Peiris,M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
1432	MN654998	MN654998.1	Al-Hasa-SA2675/2017	2017-05-XX	Asia	Saudi Arabia			30004	Camelus dromedarius	2020-12-17	2020-12-17		Chu,D.K.W.,Hemida,M.,Chor,Y.,Cheng,S.M.,Alnaeem,A.,Poon,L.M.,Peiris,M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
1433	MN654999	MN654999.1	Al-Hasa-SA4116/2017	2017-12-XX	Asia	Saudi Arabia			30113	Camelus dromedarius	2020-12-17	2020-12-17		Chu,D.K.W.,Hemida,M.,Chor,Y.,Cheng,S.M.,Alnaeem,A.,Poon,L.M.,Peiris,M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
1434	MN655000	MN655000.1	Al-Hasa-SA2626/2017	2017-02-XX	Asia	Saudi Arabia			30004	Camelus dromedarius	2020-12-17	2020-12-17		Chu,D.K.W.,Hemida,M.,Chor,Y.,Cheng,S.M.,Alnaeem,A.,Poon,L.M.,Peiris,M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
1435	MN655001	MN655001.1	Al-Hasa-SA4765/2018	2018-04-02	Asia	Saudi Arabia			30112	Camelus dromedarius	2020-12-17	2020-12-17		Chu,D.K.W.,Hemida,M.,Chor,Y.,Cheng,S.M.,Alnaeem,A.,Poon,L.M.,Peiris,M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
1436	MN655002	MN655002.1	Al-Hasa-SA2677/2017	2017-05-XX	Asia	Saudi Arabia			30003	Camelus dromedarius	2020-12-17	2020-12-17		Chu,D.K.W.,Hemida,M.,Chor,Y.,Cheng,S.M.,Alnaeem,A.,Poon,L.M.,Peiris,M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
1437	MN655003	MN655003.1	Al-Hasa-SA2679/2017	2017-05-XX	Asia	Saudi Arabia			30004	Camelus dromedarius	2020-12-17	2020-12-17		Chu,D.K.W.,Hemida,M.,Chor,Y.,Cheng,S.M.,Alnaeem,A.,Poon,L.M.,Peiris,M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
1438	MN655004	MN655004.1	Al-Hasa-SA4554		Asia	Saudi Arabia			30112	Camelus dromedarius	2020-12-17	2020-12-17		Chu,D.K.W.,Hemida,M.,Chor,Y.,Cheng,S.M.,Alnaeem,A.,Poon,L.M.,Peiris,M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
1439	MN655005	MN655005.1	Al-Hasa-SA4068/2017	2017-12-XX	Asia	Saudi Arabia			30111	Camelus dromedarius	2020-12-17	2020-12-17		Chu,D.K.W.,Hemida,M.,Chor,Y.,Cheng,S.M.,Alnaeem,A.,Poon,L.M.,Peiris,M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
1440	MN655006	MN655006.1	Al-Hasa-SA4566/2018	2018-03-07	Asia	Saudi Arabia			30112	Camelus dromedarius	2020-12-17	2020-12-17		Chu,D.K.W.,Hemida,M.,Chor,Y.,Cheng,S.M.,Alnaeem,A.,Poon,L.M.,Peiris,M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
1441	MN655007	MN655007.1	Al-Hasa-SA1940		Asia	Saudi Arabia			30006	Camelus dromedarius	2020-12-17	2020-12-17		Chu,D.K.W.,Hemida,M.,Chor,Y.,Cheng,S.M.,Alnaeem,A.,Poon,L.M.,Peiris,M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
1442	MN655008	MN655008.1	Al-Hasa-SA2696/2017	2017-05-XX	Asia	Saudi Arabia			30111	Camelus dromedarius	2020-12-17	2020-12-17		Chu,D.K.W.,Hemida,M.,Chor,Y.,Cheng,S.M.,Alnaeem,A.,Poon,L.M.,Peiris,M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
1443	MN655009	MN655009.1	Al-Hasa-SA4104/2017	2017-12-XX	Asia	Saudi Arabia			30113	Camelus dromedarius	2020-12-17	2020-12-17		Chu,D.K.W.,Hemida,M.,Chor,Y.,Cheng,S.M.,Alnaeem,A.,Poon,L.M.,Peiris,M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
1444	MN655010	MN655010.1	Al-Hasa-SA2673/2017	2017-05-XX	Asia	Saudi Arabia			30004	Camelus dromedarius	2020-12-17	2020-12-17		Chu,D.K.W.,Hemida,M.,Chor,Y.,Cheng,S.M.,Alnaeem,A.,Poon,L.M.,Peiris,M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
1445	MN655011	MN655011.1	Al-Hasa-SA2205/2016	2016-06-XX	Asia	Saudi Arabia			30004	Camelus dromedarius	2020-12-17	2020-12-17		Chu,D.K.W.,Hemida,M.,Chor,Y.,Cheng,S.M.,Alnaeem,A.,Poon,L.M.,Peiris,M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
1446	MN655012	MN655012.1	Al-Hasa-SA2685/2017	2017-05-XX	Asia	Saudi Arabia			30001	Camelus dromedarius	2020-12-17	2020-12-17		Chu,D.K.W.,Hemida,M.,Chor,Y.,Cheng,S.M.,Alnaeem,A.,Poon,L.M.,Peiris,M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
1447	MN655013	MN655013.1	Al-Hasa-SA2575		Asia	Saudi Arabia			30004	Camelus dromedarius	2020-12-17	2020-12-17		Chu,D.K.W.,Hemida,M.,Chor,Y.,Cheng,S.M.,Alnaeem,A.,Poon,L.M.,Peiris,M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
1448	MN655014	MN655014.1	Al-Hasa-SA1948		Asia	Saudi Arabia			30108	Camelus dromedarius	2020-12-17	2020-12-17		Chu,D.K.W.,Hemida,M.,Chor,Y.,Cheng,S.M.,Alnaeem,A.,Poon,L.M.,Peiris,M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
1449	MN655015	MN655015.1	Al-Hasa-SA1954		Asia	Saudi Arabia			30000	Camelus dromedarius	2020-12-17	2020-12-17		Chu,D.K.W.,Hemida,M.,Chor,Y.,Cheng,S.M.,Alnaeem,A.,Poon,L.M.,Peiris,M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
1450	MN655016	MN655016.1	Al-Hasa-SA1997/2015	2015-11-XX	Asia	Saudi Arabia			29992	Camelus dromedarius	2020-12-17	2020-12-17		Chu,D.K.W.,Hemida,M.,Chor,Y.,Cheng,S.M.,Alnaeem,A.,Poon,L.M.,Peiris,M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
1451	MN655017	MN655017.1	Al-Hasa-SA2117/2016	2016-03-XX	Asia	Saudi Arabia			29998	Camelus dromedarius	2020-12-17	2020-12-17		Chu,D.K.W.,Hemida,M.,Chor,Y.,Cheng,S.M.,Alnaeem,A.,Poon,L.M.,Peiris,M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
1459	MN758606	MN758606.1	camel/KFU-HKU-I/2017	2017-XX-XX	Asia	Saudi Arabia			30089	Camelus dromedarius	2021-01-03	2021-01-03		Chu,D.K.W.,Hemida,M.G.,Perera,R.A.P.M.,Chan,C.-k.,Krishnan,P.,Chor,Y.-y.,Chan,K.-h.,Ng,D.Y.M.,Poon,L.M.,Alnaeem,A.,Peiris,M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
1460	MN758607	MN758607.1	camel/KFU-HKU-P/2017	2017-XX-XX	Asia	Saudi Arabia			30089	Camelus dromedarius	2021-01-03	2021-01-03		Chu,D.K.W.,Hemida,M.G.,Perera,R.A.P.M.,Chan,C.-k.,Krishnan,P.,Chor,Y.-y.,Chan,K.-h.,Ng,D.Y.M.,Poon,L.M.,Alnaeem,A.,Peiris,M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
1461	MN758608	MN758608.1	camel/KFU-HKU-R/2017	2017-XX-XX	Asia	Saudi Arabia			30089	Camelus dromedarius	2021-01-03	2021-01-03		Chu,D.K.W.,Hemida,M.G.,Perera,R.A.P.M.,Chan,C.-k.,Krishnan,P.,Chor,Y.-y.,Chan,K.-h.,Ng,D.Y.M.,Poon,L.M.,Alnaeem,A.,Peiris,M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
