accession	accession_version	length	database	sra_accessions	strain	region	location	date	date_released	date_updated	host	sample_type	biosample_accessions	authors	institution	submitter_country	country	division	abbr_authors
MN541211	MN541211.1	1046	GenBank		SPC00443	Africa		2017-03-27	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Djibouti		El-Kafrawy et al
MN541212	MN541212.1	1046	GenBank		SPC00424	Africa		2017-03-27	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Djibouti		El-Kafrawy et al
MN541213	MN541213.1	1046	GenBank		SPC00413	Africa		2017-03-27	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Djibouti		El-Kafrawy et al
MN541214	MN541214.1	1046	GenBank		SPC00382	Africa		2017-03-27	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Djibouti		El-Kafrawy et al
MN541215	MN541215.1	1046	GenBank		SPC00743	Africa		2017-11-12	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Sudan		El-Kafrawy et al
MN541216	MN541216.1	1046	GenBank		SPC00633	Africa		2017-09-20	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Sudan		El-Kafrawy et al
MN541217	MN541217.1	1046	GenBank		SPC00625	Africa		2017-09-20	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Sudan		El-Kafrawy et al
MN541218	MN541218.1	1046	GenBank		SPC00624	Africa		2017-09-20	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Sudan		El-Kafrawy et al
MN541219	MN541219.1	1046	GenBank		SPC00218	Africa		2017-02-21	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Sudan		El-Kafrawy et al
MN541220	MN541220.1	1046	GenBank		MAK5	Africa		2016-12-11	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Sudan		El-Kafrawy et al
MN541221	MN541221.1	1046	GenBank		MAK29	Africa		2016-12-11	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Sudan		El-Kafrawy et al
MN541222	MN541222.1	1046	GenBank		B7-26-5	Africa		2016-12-13	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Sudan		El-Kafrawy et al
MN541223	MN541223.1	1046	GenBank		MAK3	Africa		2017-12-11	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Sudan		El-Kafrawy et al
MN541224	MN541224.1	1046	GenBank		MAK21	Africa		2016-12-11	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Sudan		El-Kafrawy et al
MN541225	MN541225.1	1046	GenBank		MAK35	Africa		2016-12-11	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Sudan		El-Kafrawy et al
MN541226	MN541226.1	1046	GenBank		MAK36	Africa		2016-12-11	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Sudan		El-Kafrawy et al
MN541227	MN541227.1	1046	GenBank		MAK37	Africa		2016-12-11	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Sudan		El-Kafrawy et al
MN541228	MN541228.1	1046	GenBank		B7-26	Africa		2016-12-13	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Sudan		El-Kafrawy et al
MN541229	MN541229.1	1046	GenBank		SPC00638	Africa		2017-09-20	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Sudan		El-Kafrawy et al
MN541230	MN541230.1	1046	GenBank		MAK34	Africa		2016-12-11	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Sudan		El-Kafrawy et al
MN541231	MN541231.1	1046	GenBank		MAK25	Africa		2016-12-11	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Sudan		El-Kafrawy et al
MN541232	MN541232.1	1046	GenBank		MAK33	Africa		2016-12-11	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Sudan		El-Kafrawy et al
MN541233	MN541233.1	1046	GenBank		B5-2	Africa		2016-12-12	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Sudan		El-Kafrawy et al
MN541234	MN541234.1	1046	GenBank		MAK38	Africa		2016-12-11	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Sudan		El-Kafrawy et al
MN541235	MN541235.1	1046	GenBank		MAK26	Africa		2016-12-11	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Sudan		El-Kafrawy et al
MN541236	MN541236.1	1046	GenBank		SPC00161	Africa		2016-12-13	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Sudan		El-Kafrawy et al
MN541237	MN541237.1	1046	GenBank		SPC00222	Africa		2017-02-21	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Sudan		El-Kafrawy et al
MN541238	MN541238.1	1046	GenBank		SPC00243	Africa		2017-03-06	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Sudan		El-Kafrawy et al
MN541239	MN541239.1	1046	GenBank		SPC00398	Africa		2017-03-27	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Djibouti		El-Kafrawy et al
MN541240	MN541240.1	1046	GenBank		SPC00532	Africa		2017-04-20	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Sudan		El-Kafrawy et al
MN541241	MN541241.1	1046	GenBank		SPC00258	Africa		2017-03-06	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Sudan		El-Kafrawy et al
MN541242	MN541242.1	1046	GenBank		SPC00269	Africa		2017-03-05	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Djibouti		El-Kafrawy et al
MN541243	MN541243.1	1046	GenBank		B5-8	Africa		2016-12-12	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Sudan		El-Kafrawy et al
MN541244	MN541244.1	1046	GenBank		SPC00813	Africa		2018-01-01	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Sudan		El-Kafrawy et al
MN541245	MN541245.1	1046	GenBank		B5-5	Africa		2016-12-12	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Sudan		El-Kafrawy et al
MN541246	MN541246.1	1046	GenBank		B5-10	Africa		2016-12-12	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Sudan		El-Kafrawy et al
MN541247	MN541247.1	1046	GenBank		B5-12-1	Africa		2016-12-12	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Sudan		El-Kafrawy et al
MN541248	MN541248.1	1046	GenBank		B5-13	Africa		2016-12-12	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Sudan		El-Kafrawy et al
MN541249	MN541249.1	1046	GenBank		B5-21	Africa		2016-12-12	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Sudan		El-Kafrawy et al
MN541250	MN541250.1	1046	GenBank		B7-1	Africa		2016-12-12	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Sudan		El-Kafrawy et al
MN541251	MN541251.1	1046	GenBank		B7-3	Africa		2016-12-13	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Sudan		El-Kafrawy et al
MN541252	MN541252.1	1046	GenBank		B7-1-1	Africa		2016-12-13	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Sudan		El-Kafrawy et al
MN541253	MN541253.1	1046	GenBank		B7-24	Africa		2016-12-13	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Sudan		El-Kafrawy et al
MN541254	MN541254.1	1046	GenBank		B7-31	Africa		2016-12-13	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Sudan		El-Kafrawy et al
MN541255	MN541255.1	1046	GenBank		B7-37	Africa		2016-12-13	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Sudan		El-Kafrawy et al
MN541256	MN541256.1	1046	GenBank		B7-38	Africa		2016-12-13	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Sudan		El-Kafrawy et al
MN541257	MN541257.1	1046	GenBank		B7-7368	Africa		2017-02-21	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Sudan		El-Kafrawy et al
MN541258	MN541258.1	1046	GenBank		MAK28	Africa		2016-12-11	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Sudan		El-Kafrawy et al
MN541259	MN541259.1	1046	GenBank		MAK39-2	Africa		2016-12-11	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Sudan		El-Kafrawy et al
MN541260	MN541260.1	1046	GenBank		MAK39-1	Africa		2016-12-11	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Sudan		El-Kafrawy et al
MN541261	MN541261.1	1046	GenBank		MKH4	Africa		2016-12-28	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Sudan		El-Kafrawy et al
MN541262	MN541262.1	1046	GenBank		MKH-25b	Africa		2016-12-28	2020-01-06	2020-01-06	Camelus dromedarius			El-Kafrawy,S.A.,Corman,V.M.,Tolah,A.M.,Al Masaudi,S.B.,Hassan,A.M.,Muller,M.A.,Bleicker,T.,Harakeh,S.M.,Alzahrani,A.A.,Alsaaidi,G.A.,Alagili,A.N.,Hashem,A.M.,Zumla,A.,Drosten,C.,Azhar,E.I.	Charite - Universitaetsmedizin Berlin, Institute of Virology	Germany	Sudan		El-Kafrawy et al
